STUDY NAME: Fall 2020 SimmonsLOCAL,,,,,
STUDY WEIGHT TYPE: Household,,,,,
BASE: Study Universe,,,,,
TARGET: MEAT ALTERNATIVES - HH USES?: YES,,,,,
,,,,,
Geographies,Target Sample,Target Weighted,Base Weighted,Horizontal %,Index
"86505 - GANADO","82","1,533","4,754",32,"125"
"86506 - HOUCK","7","137","509",27,"105"
"86507 - LUKACHUKAI","9","159","424",38,"146"
"86508 - LUPTON","7","103","470",22,"85"
"86511 - SAINT MICHAELS","38","585","1,479",40,"154"
"86514 - TEEC NOS POS","28","432","1,739",25,"97"
"86515 - WINDOW ROCK","3","52","398",13,"51"
"86535 - DENNEHOTSO","9","132","535",25,"96"
"86538 - MANY FARMS","3","37","195",19,"74"
"86547 - ROUND ROCK","9","146","454",32,"125"
"87001 - ALGODONES","14","388","1,411",28,"107"
"87002 - BELEN","103","1,988","7,892",25,"98"
"87004 - BERNALILLO","45","989","4,249",23,"91"
"87005 - BLUEWATER","17","281","905",31,"121"
"87006 - BOSQUE","6","156","571",27,"106"
"87007 - CASA BLANCA","6","87","384",23,"88"
"87008 - CEDAR CREST","11","255","1,003",25,"99"
"87010 - CERRILLOS","5","100","526",19,"74"
"87012 - COYOTE","1","7","70",10,"39"
"87013 - CUBA","17","357","1,629",22,"85"
"87014 - CUBERO","20","277","1,150",24,"94"
"87015 - EDGEWOOD","60","1,612","5,883",27,"107"
"87016 - ESTANCIA","24","537","1,688",32,"124"
"87017 - GALLINA","1","7","99",7,"28"
"87020 - GRANTS","90","1,453","5,075",29,"111"
"87023 - JARALES","8","209","553",38,"147"
"87024 - JEMEZ PUEBLO","5","121","379",32,"124"
"87025 - JEMEZ SPRINGS","3","81","231",35,"136"
"87026 - LAGUNA","10","208","1,260",17,"64"
